Date,Keyword,Our Position,Our URL,MoneyMade Position,MoneyMade URL,Page 1 Competitors,Impressions,Clicks,CTR,Avg Position,Notes
2025-01-08,how to grade your own cards before sending to psa,Not Ranked,https://pregrade.com/grade-cards-before-psa,1,https://moneymade.io/learn/articles/psa-grading-guide/,"PSA.com(1,3,6,10), MoneyMade(2), Public.com(4), PokemonMasterCenter(5), AllVintageCards(7), CardCapsule(8), SportsCardsRock(9)",0,0,0.00%,Not Tracked,Baseline - Content published
2025-01-15,how to grade your own cards before sending to psa,,,1,https://moneymade.io/learn/articles/psa-grading-guide/,,0,0,0.00%,Not Tracked,Week 1 - Check indexing
2025-01-22,how to grade your own cards before sending to psa,,,1,https://moneymade.io/learn/articles/psa-grading-guide/,,0,0,0.00%,Not Tracked,Week 2 - Initial rankings
2025-01-29,how to grade your own cards before sending to psa,,,1,https://moneymade.io/learn/articles/psa-grading-guide/,,0,0,0.00%,Not Tracked,Week 3
2025-02-05,how to grade your own cards before sending to psa,,,1,https://moneymade.io/learn/articles/psa-grading-guide/,,0,0,0.00%,Not Tracked,Week 4 - Target: Enter top 20
2025-02-12,how to grade your own cards before sending to psa,,,1,https://moneymade.io/learn/articles/psa-grading-guide/,,0,0,0.00%,Not Tracked,Week 5
2025-02-19,how to grade your own cards before sending to psa,,,1,https://moneymade.io/learn/articles/psa-grading-guide/,,0,0,0.00%,Not Tracked,Week 6 - Target: Enter top 10
2025-02-26,how to grade your own cards before sending to psa,,,1,https://moneymade.io/learn/articles/psa-grading-guide/,,0,0,0.00%,Not Tracked,Week 7
2025-03-05,how to grade your own cards before sending to psa,,,1,https://moneymade.io/learn/articles/psa-grading-guide/,,0,0,0.00%,Not Tracked,Week 8 - Target: Top 5
2025-03-12,how to grade your own cards before sending to psa,,,1,https://moneymade.io/learn/articles/psa-grading-guide/,,0,0,0.00%,Not Tracked,Week 9
2025-03-19,how to grade your own cards before sending to psa,,,1,https://moneymade.io/learn/articles/psa-grading-guide/,,0,0,0.00%,Not Tracked,Week 10 - Target: Top 3
2025-03-26,how to grade your own cards before sending to psa,,,1,https://moneymade.io/learn/articles/psa-grading-guide/,,0,0,0.00%,Not Tracked,Week 11
2025-04-02,how to grade your own cards before sending to psa,,,1,https://moneymade.io/learn/articles/psa-grading-guide/,,0,0,0.00%,Not Tracked,Week 12 - Target: #1 or #2

Date,Keyword,Our Position,Our URL,Competitor Position,Competitor URL,Page 1 Competitors,Impressions,Clicks,CTR,Avg Position,Notes
2025-01-08,self grade cards,Not Ranked,https://pregrade.com/grade-cards-before-psa,,,,0,0,0.00%,Not Tracked,Secondary keyword - baseline
2025-01-08,pre grade cards psa,Not Ranked,https://pregrade.com/grade-cards-before-psa,,,,0,0,0.00%,Not Tracked,Secondary keyword - baseline
2025-01-08,how to check card grade before psa,Not Ranked,https://pregrade.com/grade-cards-before-psa,,,,0,0,0.00%,Not Tracked,Secondary keyword - baseline
2025-01-08,diy card grading,Not Ranked,https://pregrade.com/grade-cards-before-psa,,,,0,0,0.00%,Not Tracked,Secondary keyword - baseline
2025-01-08,psa 10 criteria,Not Ranked,https://pregrade.com/grade-cards-before-psa,,,,0,0,0.00%,Not Tracked,Secondary keyword - baseline
2025-01-08,how to measure centering on trading cards,Not Ranked,https://pregrade.com/grade-cards-before-psa,,,,0,0,0.00%,Not Tracked,Long-tail keyword - baseline
2025-01-08,psa grading checklist,Not Ranked,https://pregrade.com/grade-cards-before-psa,,,,0,0,0.00%,Not Tracked,Long-tail keyword - baseline
2025-01-08,card grading tools,Not Ranked,https://pregrade.com/grade-cards-before-psa,,,,0,0,0.00%,Not Tracked,Long-tail keyword - baseline
