Date,Keyword,Our URL,Our Rank,Competitor #1,Competitor #1 Rank,Competitor #2,Competitor #2 Rank,Organic Traffic,Notes
2025-11-09,pokemon card grading guide,https://pregrade.com/pokemon-card-grading-guide,Not indexed,https://ggwpacademy.com/pokemon-card-grading-explained/,1,https://www.pokemastercenter.com/how-to-grade-pokemon-cards/,2,0,Baseline - content just created
2025-11-09,what do PSA graders look for,https://pregrade.com/pokemon-card-grading-guide,Not indexed,https://www.coffeeandfun.com/blog/how-psa-grades-pokemon-cards-research-guide/,1,https://ggwpacademy.com/pokemon-card-grading-explained/,3,0,Baseline
2025-11-09,psa vs bgs vs cgc pokemon,https://pregrade.com/pokemon-card-grading-guide,Not indexed,https://ogcards.com/blogs/pokemon-cards/psa-vs-bgs-vs-cgc-pokemon-grading-guide,1,https://www.pokemonpricetracker.com/guides/psa-vs-bgs-vs-cgc-comparison,2,0,Baseline
2025-11-09,pokemon card grading cost,https://pregrade.com/pokemon-card-grading-guide,Not indexed,https://ogcards.com/blogs/pokemon-cards/should-you-grade-your-pokemon-cards,1,https://www.pokemonpricetracker.com/guides/when-to-grade-pokemon-cards,2,0,Baseline
2025-11-09,psa 10 centering requirements,https://pregrade.com/pokemon-card-grading-guide,Not indexed,https://ogcards.com/blogs/pokemon-cards/psa-10-pokemon-card-guide,1,https://www.elitefourum.com/t/psa-centring-parameters-expecially-psa-10/23374,2,0,Baseline
2025-11-09,cgc pristine 10 vs psa 10,https://pregrade.com/pokemon-card-grading-guide,Not indexed,https://www.elitefourum.com/t/psa-10-vs-cgc-10-pristine-comparison-video/45365,1,https://ogcards.com/blogs/pokemon-cards/psa-vs-bgs-vs-cgc-pokemon-grading-guide,2,0,Baseline
2025-11-09,bgs black label 10,https://pregrade.com/pokemon-card-grading-guide,Not indexed,https://www.cllct.com/sports-collectibles/sports-cards/what-grade-is-better-than-a-gem-mint-10-the-pristine-10-reigns-supreme,1,https://www.elitefourum.com/t/psa-10-vs-cgc-10-bgs-9-5-for-vintage-grails/52000,2,0,Baseline
2025-11-09,should i grade my pokemon cards,https://pregrade.com/pokemon-card-grading-guide,Not indexed,https://ogcards.com/blogs/pokemon-cards/should-you-grade-your-pokemon-cards,1,https://www.pokemonpricetracker.com/guides/when-to-grade-pokemon-cards,2,0,Baseline
2025-11-09,pokemon card grading 2025,https://pregrade.com/pokemon-card-grading-guide,Not indexed,https://www.cllct.com/sports-collectibles/sports-cards/pokemon-cards-dominating-grading-submissions-in-2025,1,https://ogcards.com/blogs/pokemon-cards/psa-vs-bgs-vs-cgc-pokemon-grading-guide,2,0,Baseline
2025-11-09,psa grading cost 2025,https://pregrade.com/pokemon-card-grading-guide,Not indexed,https://www.pokemonpricetracker.com/guides/psa-vs-bgs-vs-cgc-comparison,1,https://www.cllct.com/sports-collectibles/sports-cards/psa-announces-increased-turnaround-times-for-popular-service-levels,2,0,Baseline
